,bID,bstatus,bGPSx,bGPSy,barea,bpassword,busage,bproblem
107,385,0,55.8944971421,-4.0519958638,C,8775,0,
108,386,0,55.8661642602,-4.2313735763,A,4310,0,
109,387,0,55.8160799015,-4.0887956298,E,9306,0,
110,388,0,55.9450593554,-4.0790304591,C,3158,0,
111,389,0,55.8844853737,-4.2806137937,B,2620,0,
112,390,0,55.8569599199,-4.2935387005,D,7919,1,
113,391,1,55.851274137,-4.0099696646,E,8275,1,
114,392,0,55.9175793128,-4.1187515609,C,5704,1,
115,393,0,55.9141824503,-4.0823311637,C,7188,0,
116,394,0,55.8655268651,-4.1201156426,E,6080,0,
117,395,0,55.8701797776,-4.194996602,A,3237,0,
118,396,0,55.8176492137,-4.0481949591,E,3392,1,
119,397,0,55.8718915782,-4.2184557055,A,6004,0,
120,398,0,55.9117639443,-4.0078664626,C,9937,0,
121,399,0,55.9122745298,-4.2923799333,B,5701,0,
122,400,0,55.8673275208,-4.2960628195,D,6579,1,
123,401,0,55.8622000073,-4.0528984122,E,9885,0,
124,402,0,55.8114480167,-4.2265567111,D,1459,0,
125,403,0,55.8341627101,-4.204161264,D,3964,0,
126,404,0,55.8619334172,-4.1868753066,A,4551,1,
127,405,0,55.9474783925,-4.0526532788,C,2179,0,
128,406,0,55.9102256214,-4.1700166996,B,1212,0,
129,407,0,55.8974597456,-4.1913301257,A,5709,1,
130,408,0,55.9165597816,-4.2171703045,B,6898,0,
131,409,0,55.8882210386,-4.0808209961,C,3079,1,
132,410,1,55.9407205717,-4.1637540731,B,8174,1,
