,pID,ID,bID,starttime,endtime,duration,oribill,discount,startGPSx,startGPSy,endGPSx,endGPSy,pstatus
12,2004,1039,283,2021-01-27 04:09:36,2021-01-27 04:54:36,45,0.38,0.3,55.8133398317,-4.0051082531,55.9458017947,-4.0194194346,1
13,2005,1117,338,2021-02-05 03:20:34,2021-02-05 04:13:34,53,0.44,0.35,55.8464358878,-4.0089869307,55.8889713094,-4.2048784373,1
14,2006,1047,585,2020-07-16 05:57:29,2020-07-16 10:50:29,293,2.44,1.95,55.9289046939,-4.0434924604,55.9093579965,-4.2407294618,1
15,2007,1007,317,2020-11-22 22:14:28,2020-11-22 23:10:28,56,0.47,0.37,55.9347007596,-4.0245641209,55.9259488161,-4.0242900906,1
16,2008,1100,519,2021-02-14 23:44:45,2021-02-15 04:56:45,312,2.6,2.08,55.8640290864,-4.3096298077,55.8724891395,-4.0060679286,1
17,2009,1102,542,2021-02-16 12:03:24,2021-02-16 13:37:24,94,0.78,0.63,55.9414507953,-4.0294201154,55.8104669361,-4.2413557304,1
18,2010,1124,524,2020-10-02 18:10:06,2020-10-02 19:10:06,60,0.5,0.4,55.9358072499,-4.2039339267,55.8710950763,-4.29243126,1
19,2011,1134,391,2021-02-10 09:09:41,2021-02-10 16:42:41,453,3.77,3.02,55.826178912,-4.1306614702,55.8336102012,-4.0827239385,1
20,2012,1098,266,2020-03-19 15:37:55,2020-03-19 20:34:55,297,2.48,1.98,55.9252517998,-4.1674813599,55.895805495,-4.1786408089,1
21,2013,1007,234,2020-10-11 12:53:02,2020-10-11 13:40:02,47,0.39,0.31,55.9040222439,-4.153016883,55.8573933531,-4.0731886867,1
22,2014,1148,313,2020-04-10 23:57:20,2020-04-11 00:47:20,50,0.42,0.33,55.9224143973,-4.1012285412,55.9209911425,-4.1282319802,1
23,2015,1101,429,2020-12-11 16:04:44,2020-12-11 16:11:44,7,0.06,0.05,55.8101626889,-4.2416827254,55.8954600213,-4.0949050429,1
24,2016,1082,589,2020-05-08 16:40:52,2020-05-08 17:38:52,58,0.48,0.39,55.8428147868,-4.1008934589,55.8963976914,-4.1901052044,1
25,2017,1111,350,2020-02-28 16:38:42,2020-02-28 16:42:42,4,0.03,0.03,55.8154408775,-4.1744906889,55.8112930854,-4.2679868768,1
26,2018,1152,303,2020-05-29 19:16:43,2020-05-29 19:43:43,27,0.23,0.18,55.880856683,-4.2821398199,55.8683130035,-4.0021811873,1
27,2019,1100,376,2020-05-05 07:19:00,2020-05-05 07:28:00,9,0.07,0.06,55.8268082888,-4.1850196793,55.8599914938,-4.1437065769,1
28,2020,1096,225,2021-02-05 10:46:42,2021-02-05 11:19:42,33,0.28,0.22,55.8474869445,-4.1930348936,55.931154565,-4.0030747479,1
29,2021,1045,320,2020-02-13 11:55:09,2020-02-13 18:33:09,398,3.32,2.65,55.9240094643,-4.1930287582,55.906368459,-4.0785881218,1
30,2022,1143,449,2021-02-22 11:22:15,2021-02-22 21:05:15,583,4.86,3.89,55.8247059442,-4.2658071056,55.9313642725,-4.1742660354,1
31,2023,1081,216,2020-12-08 19:28:04,2020-12-08 20:33:04,65,0.54,0.43,55.8524754308,-4.0661643133,55.9034164338,-4.042136651,1
32,2024,1084,138,2020-10-13 05:28:21,2020-10-13 06:07:21,39,0.33,0.26,55.9437148514,-4.1336166239,55.9157527315,-4.0749456495,1
33,2025,1135,419,2020-12-20 11:49:44,2020-12-20 12:27:44,38,0.32,0.25,55.8329186193,-4.2021074204,55.8738067156,-4.0133823368,1
34,2026,1004,441,2020-08-17 01:27:23,2020-08-17 02:24:23,57,0.47,0.38,55.8539501342,-4.1873110022,55.8138036767,-4.1041855214,1
35,2027,1036,219,2020-06-05 21:50:00,2020-06-06 01:10:00,200,1.67,1.33,55.8712878261,-4.106833069,55.8231108633,-4.2547694365,1
36,2028,1116,267,2021-02-25 17:29:50,2021-02-25 18:20:50,51,0.42,0.34,55.862613363,-4.2718299475,55.81565011,-4.0308798306,1
37,2029,1059,425,2020-03-01 11:06:39,2020-03-01 13:11:39,125,1.04,0.83,55.9140644584,-4.0259332618,55.879024403,-4.0275358702,1
38,2030,1088,450,2020-02-14 22:05:47,2020-02-14 22:15:47,10,0.08,0.07,55.8416598238,-4.1950922453,55.8973868559,-4.2240668154,1
39,2031,1113,171,2020-05-24 12:54:25,2020-05-24 13:46:25,52,0.43,0.35,55.8246846144,-4.2567037728,55.9100995817,-4.2713257682,1
40,2032,1032,180,2020-01-20 09:18:30,2020-01-20 09:35:30,17,0.14,0.11,55.9052536111,-4.186073306,55.8412275905,-4.2809226663,1
41,2033,1146,151,2020-05-17 14:30:09,2020-05-17 15:04:09,34,0.28,0.23,55.8665937302,-4.2187649349,55.9217301725,-4.2482609079,1
42,2034,1124,504,2020-11-27 11:34:39,2020-11-27 19:20:39,466,3.88,3.11,55.9197116067,-4.2668604456,55.9173802779,-4.0953375295,1
43,2035,1132,323,2020-07-05 02:35:19,2020-07-05 03:09:19,34,0.28,0.23,55.9142250419,-4.1010375244,55.8588788021,-4.2914596023,1
44,2036,1117,154,2020-12-22 15:15:45,2020-12-22 20:09:45,294,2.45,1.96,55.8369099186,-4.2042384447,55.8828436502,-4.083804957,1
45,2037,1129,561,2020-07-21 18:13:01,2020-07-21 20:31:01,138,1.15,0.92,55.837409032,-4.1377437245,55.8468003008,-4.0931438272,1
46,2038,1009,133,2020-02-15 08:48:32,2020-02-15 17:18:32,510,4.25,3.4,55.9062778821,-4.0718856347,55.8203332919,-4.221787947,1
47,2039,1154,531,2020-06-01 18:52:09,2020-06-01 19:23:09,31,0.26,0.21,55.8821236466,-4.2667616521,55.9294107524,-4.3069950514,1
48,2040,1035,374,2020-02-03 04:12:21,2020-02-03 04:17:21,5,0.04,0.03,55.8517976469,-4.2633388516,55.8674727299,-4.1488264933,1
49,2041,1031,587,2020-06-08 19:12:02,2020-06-09 02:49:02,457,3.81,3.05,55.9196150421,-4.2279439323,55.8318174266,-4.087510972,1
50,2042,1074,569,2020-11-10 11:53:35,2020-11-10 17:06:35,313,2.61,2.09,55.8944555157,-4.0424214752,55.8478459728,-4.0889001652,1
51,2043,1146,327,2020-09-29 11:14:57,2020-09-29 11:40:57,26,0.22,0.17,55.8453267136,-4.2129802267,55.8142365781,-4.125171479,1
52,2044,1134,351,2020-11-15 02:52:22,2020-11-15 04:39:22,107,0.89,0.71,55.8225740567,-4.2822479498,55.9462954294,-4.1126920889,1
53,2045,1100,515,2020-12-05 23:38:30,2020-12-06 06:32:30,414,3.45,2.76,55.9310381695,-4.2611389813,55.9270815156,-4.1900344899,1
54,2046,1108,342,2020-11-05 17:47:03,2020-11-05 18:25:03,38,0.32,0.25,55.8387292762,-4.0795759242,55.8260166192,-4.0760408558,1
55,2047,1110,333,2020-04-08 05:38:27,2020-04-08 06:22:27,44,0.37,0.29,55.8911558049,-4.120418312,55.8937796487,-4.2910746852,1
56,2048,1077,490,2020-08-08 15:45:10,2020-08-08 23:45:10,480,4,3.2,55.8966630444,-4.0408015174,55.9314240334,-4.1417806265,1
57,2049,1123,184,2020-09-08 07:12:02,2020-09-08 07:40:02,28,0.23,0.19,55.8695037288,-4.2369900176,55.8676051172,-4.2748894415,1
58,2050,1036,389,2020-12-04 12:13:22,2020-12-04 12:53:22,40,0.33,0.27,55.8686839098,-4.2877817238,55.908651034,-4.0059113184,1
59,2051,1002,155,2020-11-19 16:44:47,2020-11-19 17:19:47,35,0.29,0.23,55.8162171299,-4.0766347621,55.9330234636,-4.2080595261,1
60,2052,1094,155,2020-09-03 07:08:45,2020-09-03 15:20:45,492,4.1,3.28,55.8248080404,-4.2333219683,55.9033182799,-4.2894776377,1
61,2053,1149,468,2020-08-08 06:37:14,2020-08-08 07:22:14,45,0.38,0.3,55.8865753596,-4.1224569815,55.8211780961,-4.1110757635,1
62,2054,1159,404,2020-05-27 09:56:28,2020-05-27 14:00:28,244,2.03,1.63,55.9298125603,-4.0680276615,55.8748388369,-4.1565855973,1
63,2055,1130,437,2021-01-29 06:41:55,2021-01-29 07:00:55,19,0.16,0.13,55.8897553964,-4.2905760811,55.8280060533,-4.2728696214,1
64,2056,1017,557,2020-08-07 23:03:16,2020-08-07 23:37:16,34,0.28,0.23,55.8211617736,-4.1622238626,55.9376378098,-4.0425380238,1
65,2057,1130,379,2020-06-28 10:58:38,2020-06-28 18:21:38,443,3.69,2.95,55.9470527009,-4.1870623616,55.8718241515,-4.1782035956,1
66,2058,1070,458,2021-02-20 17:18:55,2021-02-20 17:35:55,17,0.14,0.11,55.8117699655,-4.3092483356,55.8834663381,-4.26413125,1
67,2059,1039,161,2020-05-01 22:16:54,2020-05-01 22:54:54,38,0.32,0.25,55.9035242458,-4.1895047641,55.9443683393,-4.1949764513,1
68,2060,1109,299,2020-07-07 07:50:41,2020-07-07 08:30:41,40,0.33,0.27,55.8721838387,-4.0770276642,55.8372832762,-4.2793593631,1
69,2061,1045,313,2021-02-03 18:06:38,2021-02-03 20:50:38,164,1.37,1.09,55.8224696152,-4.1406558354,55.8995279181,-4.2400257603,1
70,2062,1154,282,2020-04-13 10:14:48,2020-04-13 10:47:48,33,0.28,0.22,55.8867185971,-4.0984501187,55.9265820964,-4.0967627098,1
71,2063,1027,357,2020-03-22 07:33:45,2020-03-22 08:27:45,54,0.45,0.36,55.9222707161,-4.2666379449,55.8735648874,-4.2644156281,1
72,2064,1074,390,2020-07-03 06:30:47,2020-07-03 07:52:47,82,0.68,0.55,55.9303204278,-4.2328836706,55.8324402604,-4.2151526586,1
73,2065,1012,164,2020-04-26 04:55:16,2020-04-26 05:16:16,21,0.17,0.14,55.8758529756,-4.1444940417,55.8276379091,-4.0804437214,1
74,2066,1021,359,2020-08-20 12:33:31,2020-08-20 13:30:31,57,0.47,0.38,55.8641020382,-4.1950317062,55.9056260518,-4.024867598,1
75,2067,1049,249,2020-12-19 12:11:20,2020-12-19 13:05:20,54,0.45,0.36,55.8528402213,-4.2113547429,55.8485664613,-4.1454475095,1
76,2068,1075,191,2021-02-03 21:32:50,2021-02-04 06:13:50,521,4.34,3.47,55.8166267635,-4.0895220045,55.8866400644,-4.1228529989,1
77,2069,1044,209,2020-10-21 09:00:52,2020-10-21 09:13:52,13,0.11,0.09,55.8883867533,-4.0270490512,55.8312691401,-4.0167422238,1
78,2070,1015,266,2020-01-29 23:52:23,2020-01-30 00:05:23,13,0.11,0.09,55.8280679096,-4.1543692184,55.9222648483,-4.2557491124,1
79,2071,1084,480,2020-03-31 02:32:22,2020-03-31 03:15:22,43,0.36,0.29,55.9379235724,-4.3014238533,55.8367929332,-4.2637219424,1
80,2072,1146,485,2020-12-20 23:06:42,2020-12-20 23:50:42,44,0.37,0.29,55.8743279336,-4.0589644835,55.8525583549,-4.0911889873,1
81,2073,1040,494,2021-02-25 20:36:21,2021-02-25 21:12:21,36,0.3,0.24,55.8183947073,-4.2922074828,55.8179304219,-4.14134292,1
82,2074,1070,509,2020-06-05 07:12:14,2020-06-05 08:48:14,96,0.8,0.64,55.9467704854,-4.2170109033,55.9057014577,-4.1763814507,1
83,2075,1102,428,2020-04-06 21:49:26,2020-04-06 23:10:26,81,0.68,0.54,55.8954700199,-4.1266229606,55.9202092641,-4.1046989792,1
84,2076,1029,310,2020-09-26 11:20:10,2020-09-26 11:45:10,25,0.21,0.17,55.8273290041,-4.2358121712,55.9092342943,-4.2685603227,1
85,2077,1064,373,2020-10-27 12:29:28,2020-10-27 13:28:28,59,0.49,0.39,55.9243035287,-4.1527249921,55.844088279,-4.2126730188,1
86,2078,1029,360,2020-02-23 10:46:37,2020-02-23 11:44:37,58,0.48,0.39,55.9018273404,-4.1069693874,55.8647711674,-4.1745813118,1
87,2079,1039,598,2020-10-24 16:04:59,2020-10-24 16:33:59,29,0.24,0.19,55.9393198771,-4.2607345132,55.9287979945,-4.1134007416,1
88,2080,1119,390,2020-04-07 18:05:56,2020-04-07 18:51:56,46,0.38,0.31,55.9098303973,-4.2324879363,55.8437644627,-4.139394546,1
89,2081,1122,145,2020-09-09 09:13:20,2020-09-09 11:48:20,155,1.29,1.03,55.8528513521,-4.132468302,55.9082582075,-4.0658669519,1
90,2082,1064,138,2020-08-21 02:23:43,2020-08-21 09:57:43,454,3.78,3.03,55.8136838367,-4.042785496,55.8464189602,-4.1958513647,1
91,2083,1126,530,2020-10-06 17:04:49,2020-10-07 01:07:49,483,4.03,3.22,55.8979068734,-4.2295819053,55.9326431096,-4.0726978414,1
92,2084,1057,573,2020-04-29 12:57:53,2020-04-29 22:37:53,580,4.83,3.87,55.905043754,-4.2418475985,55.897751082,-4.1673120328,1
93,2085,1107,450,2020-08-30 21:56:20,2020-08-31 03:31:20,335,2.79,2.23,55.9061066353,-4.1217217868,55.8910290041,-4.2533447458,1
94,2086,1082,252,2020-05-17 05:16:17,2020-05-17 06:00:17,44,0.37,0.29,55.8184295037,-4.053527477,55.9026201127,-4.2843671731,1
95,2087,1012,398,2020-09-17 05:58:17,2020-09-17 06:49:17,51,0.42,0.34,55.8905660368,-4.2575437821,55.9287473847,-4.1699404132,1
96,2088,1098,409,2020-04-25 16:45:05,2020-04-25 17:26:05,41,0.34,0.27,55.8664715039,-4.0152098258,55.8203047513,-4.1865238211,1
97,2089,1118,234,2020-08-18 04:21:30,2020-08-18 04:44:30,23,0.19,0.15,55.8714703034,-4.2313341296,55.93049366,-4.2179200007,1
98,2090,1004,476,2020-02-10 09:11:08,2020-02-10 09:59:08,48,0.4,0.32,55.8311299117,-4.0879542046,55.8352963938,-4.2293686898,1
99,2091,1132,145,2020-08-11 21:21:48,2020-08-11 21:50:48,29,0.24,0.19,55.8659664362,-4.0909999974,55.8457408611,-4.0449614048,1
100,2092,1025,497,2020-08-18 10:15:07,2020-08-18 10:31:07,16,0.13,0.11,55.9338699924,-4.2821713293,55.8923988926,-4.1143333576,1
101,2093,1052,150,2020-04-07 22:29:13,2020-04-07 22:42:13,13,0.11,0.09,55.9108373402,-4.0998932855,55.8200920981,-4.0849927366,1
102,2094,1041,457,2020-01-06 11:10:37,2020-01-06 11:29:37,19,0.16,0.13,55.8652183211,-4.1729033161,55.8353445491,-4.3079551871,1
103,2095,1101,474,2020-02-28 20:53:31,2020-02-28 21:35:31,42,0.35,0.28,55.9119712085,-4.0918665422,55.8717771564,-4.3003738521,1
104,2096,1131,183,2020-12-20 09:53:43,2020-12-20 16:51:43,418,3.48,2.79,55.8103535485,-4.0976205549,55.8896953472,-4.2800406497,1
105,2097,1053,505,2020-09-10 02:03:46,2020-09-10 07:16:46,313,2.61,2.09,55.8706562717,-4.193159907,55.8779431753,-4.3071635647,1
106,2098,1017,588,2021-01-10 15:08:15,2021-01-10 16:08:15,60,0.5,0.4,55.8472724159,-4.2213832263,55.8978256598,-4.083240237,1
107,2099,1105,518,2020-10-07 07:22:25,2020-10-07 08:17:25,55,0.46,0.37,55.8652815785,-4.2740963609,55.9281163312,-4.1586114299,1
108,2100,1082,131,2020-06-28 13:42:05,2020-06-28 14:01:05,19,0.16,0.13,55.9479697744,-4.2390911431,55.9040559378,-4.1760105435,1
109,2101,1006,248,2020-02-09 18:45:24,2020-02-10 01:20:24,395,3.29,2.63,55.8980308141,-4.0251341344,55.8119776013,-4.0322485556,1
110,2102,1103,248,2020-07-15 22:20:31,2020-07-16 07:46:31,566,4.72,3.77,55.9230644923,-4.1516912023,55.8393493039,-4.220897473,1
111,2103,1150,119,2020-02-01 16:51:42,2020-02-01 17:43:42,52,0.43,0.35,55.8769243974,-4.1786341893,55.9375700749,-4.2112011432,1
112,2104,1016,477,2020-12-12 20:53:37,2020-12-12 21:00:37,7,0.06,0.05,55.826423281,-4.0118849797,55.8143230228,-4.0329540237,1
113,2105,1128,343,2020-09-15 08:41:18,2020-09-15 17:13:18,512,4.27,3.41,55.817639834,-4.0290639826,55.9184871968,-4.1229759042,1
114,2106,1130,339,2020-05-06 11:53:16,2020-05-06 15:22:16,209,1.74,1.39,55.931173284,-4.0790291769,55.8951529928,-4.0644837023,1
115,2107,1103,424,2020-06-19 11:30:55,2020-06-19 14:14:55,164,1.37,1.09,55.9415214905,-4.2364202412,55.8218124557,-4.193928908,1
116,2108,1147,418,2020-02-16 21:42:17,2020-02-17 05:51:17,489,4.08,3.26,55.9035316573,-4.0577407302,55.8710992704,-4.2739271249,1
117,2109,1132,114,2020-02-01 11:21:24,2020-02-01 19:54:24,513,4.28,3.42,55.8709016581,-4.1951643076,55.9172792436,-4.2372534433,1
118,2110,1064,319,2020-11-19 01:57:31,2020-11-19 02:38:31,41,0.34,0.27,55.9255133345,-4.1117785697,55.9484167644,-4.0970806959,1
119,2111,1152,144,2021-02-21 16:24:57,2021-02-21 21:44:57,320,2.67,2.13,55.9000379852,-4.1039915433,55.8374319799,-4.1512698269,1
120,2112,1020,255,2020-03-08 16:54:15,2020-03-09 00:55:15,481,4.01,3.21,55.9215613579,-4.0713340483,55.9020124825,-4.2454517534,1
121,2113,1160,596,2020-07-25 03:22:46,2020-07-25 04:08:46,46,0.38,0.31,55.835775831,-4.2244631002,55.9090076345,-4.0649064178,1
122,2114,1151,414,2020-01-31 16:45:14,2020-01-31 17:53:14,68,0.57,0.45,55.90951536,-4.2953476009,55.8245232483,-4.1763231702,1
123,2115,1136,599,2020-07-19 06:54:00,2020-07-19 07:10:00,16,0.13,0.11,55.9165708095,-4.1638181327,55.9265794503,-4.0642579599,1
124,2116,1115,558,2021-02-20 05:07:43,2021-02-20 14:58:43,591,4.92,3.94,55.9205324146,-4.2862358693,55.8369257349,-4.256515126,1
125,2117,1022,468,2020-08-16 15:54:39,2020-08-16 23:59:39,485,4.04,3.23,55.923485478,-4.1249711412,55.9227466027,-4.0459632312,1
126,2118,1077,376,2020-11-28 08:44:04,2020-11-28 09:16:04,32,0.27,0.21,55.8751898028,-4.148737607,55.8753852687,-4.1170121602,1
127,2119,1098,307,2020-02-26 18:37:11,2020-02-26 20:09:11,92,0.77,0.61,55.9367715374,-4.1286858558,55.8502696014,-4.2505268411,1
128,2120,1125,416,2020-05-16 07:38:24,2020-05-16 08:49:24,71,0.59,0.47,55.852011048,-4.2887579799,55.9208718328,-4.1541955026,1
129,2121,1035,282,2020-10-16 00:16:05,2020-10-16 01:13:05,57,0.47,0.38,55.9401415748,-4.1994986028,55.8589253876,-4.0915273973,1
130,2122,1129,564,2020-02-11 23:38:39,2020-02-12 00:18:39,40,0.33,0.27,55.8209045232,-4.1903770981,55.8357407865,-4.268771962,1
131,2123,1055,552,2020-01-20 12:25:43,2020-01-20 13:20:43,55,0.46,0.37,55.9101241661,-4.1190992906,55.9351662526,-4.2313609196,1
132,2124,1146,506,2020-07-22 12:46:36,2020-07-22 13:10:36,24,0.2,0.16,55.915496481,-4.1034005149,55.8465264568,-4.1046218221,1
133,2125,1033,233,2020-04-24 09:15:39,2020-04-24 09:49:39,34,0.28,0.23,55.8515608187,-4.2095631098,55.854658601,-4.0628435247,1
134,2126,1026,415,2020-11-18 00:05:58,2020-11-18 01:49:58,104,0.87,0.69,55.9239800941,-4.2888975275,55.8956422109,-4.2342645168,1
135,2127,1041,367,2020-10-20 08:31:37,2020-10-20 09:14:37,43,0.36,0.29,55.8621565097,-4.2913088226,55.8652858986,-4.1862775255,1
136,2128,1117,374,2020-07-31 20:46:14,2020-07-31 21:18:14,32,0.27,0.21,55.9150083476,-4.2447418476,55.8213628129,-4.2872282829,1
137,2129,1107,585,2020-04-15 05:23:14,2020-04-15 06:52:14,89,0.74,0.59,55.9086865731,-4.2832458194,55.9179855439,-4.0902845174,1
138,2130,1054,160,2020-02-10 23:27:51,2020-02-11 02:00:51,153,1.27,1.02,55.9313984015,-4.0616657535,55.8299488251,-4.0513855446,1
139,2131,1002,431,2020-02-29 00:18:02,2020-02-29 10:10:02,592,4.93,3.95,55.8322851668,-4.0843613978,55.9410545747,-4.2606140958,1
140,2132,1039,583,2021-01-04 08:45:52,2021-01-04 09:16:52,31,0.26,0.21,55.9017604341,-4.2203621223,55.902082538,-4.1661591545,1
141,2133,1145,115,2021-02-16 00:30:38,2021-02-16 08:10:38,460,3.83,3.07,55.8808920258,-4.0913673223,55.8189828989,-4.0715933701,1
142,2134,1107,169,2020-05-09 02:55:29,2020-05-09 06:26:29,211,1.76,1.41,55.8612032543,-4.201847938,55.8516073828,-4.2134928957,1
143,2135,1141,402,2020-01-12 03:36:41,2020-01-12 03:50:41,14,0.12,0.09,55.8889022833,-4.1846211727,55.915419869,-4.2104597943,1
144,2136,1081,492,2020-09-08 02:20:49,2020-09-08 02:37:49,17,0.14,0.11,55.8120686609,-4.2229409783,55.811907067,-4.2834342682,1
145,2137,1039,264,2020-10-26 11:21:45,2020-10-26 11:29:45,8,0.07,0.05,55.8461243078,-4.151231032,55.9305579405,-4.2479740953,1
146,2138,1082,317,2020-11-11 16:28:03,2020-11-11 16:52:03,24,0.2,0.16,55.8622395697,-4.1328482878,55.8862325538,-4.241200021,1
147,2139,1004,515,2020-02-20 15:16:06,2020-02-20 15:55:06,39,0.33,0.26,55.8437092886,-4.0350913314,55.9143698835,-4.2259507834,1
148,2140,1006,448,2020-07-23 10:06:18,2020-07-23 17:42:18,456,3.8,3.04,55.8154266231,-4.2263355389,55.857123325,-4.025531066,1
149,2141,1148,571,2020-05-22 14:41:18,2020-05-22 15:40:18,59,0.49,0.39,55.8416072138,-4.2173370447,55.8669324958,-4.1395419763,1
150,2142,1103,172,2021-01-20 08:41:32,2021-01-20 09:28:32,47,0.39,0.31,55.9239063679,-4.1141672524,55.9099884019,-4.0533977972,1
151,2143,1061,519,2020-08-30 18:43:52,2020-08-30 19:50:52,67,0.56,0.45,55.8698517559,-4.0425234659,55.8827753371,-4.2580606575,1
152,2144,1018,133,2021-02-17 16:40:46,2021-02-17 19:12:46,152,1.27,1.01,55.8153503932,-4.2602539422,55.8992465775,-4.2643570294,1
153,2145,1125,499,2020-11-11 12:47:18,2020-11-11 15:34:18,167,1.39,1.11,55.908057447,-4.3085200399,55.849806172,-4.2727408558,1
154,2146,1057,392,2020-02-01 17:19:20,2020-02-01 17:58:20,39,0.33,0.26,55.8698612744,-4.25302543,55.8746974682,-4.1635074217,1
155,2147,1070,427,2020-12-07 22:50:35,2020-12-07 22:58:35,8,0.07,0.05,55.9291704311,-4.0601557194,55.9009525352,-4.1424644588,1
156,2148,1154,253,2020-12-13 03:07:26,2020-12-13 13:06:26,599,4.99,3.99,55.9017730886,-4.1756352086,55.8256234839,-4.1887972911,1
157,2149,1061,520,2020-05-05 17:12:36,2020-05-05 17:14:36,2,0.02,0.01,55.9270990352,-4.2804687314,55.8707855608,-4.089796834,1
158,2150,1129,205,2020-07-30 15:34:51,2020-07-31 00:38:51,544,4.53,3.63,55.9132251482,-4.0182770598,55.9017704945,-4.0739719026,1
159,2151,1016,122,2020-12-24 18:31:05,2020-12-24 22:20:05,229,1.91,1.53,55.8168406905,-4.0317289066,55.9087631131,-4.0992368713,1
160,2152,1123,500,2020-04-14 04:41:42,2020-04-14 05:02:42,21,0.17,0.14,55.9150931234,-4.1542120918,55.9025316332,-4.0259411499,1
161,2153,1003,367,2020-11-11 04:37:27,2020-11-11 05:18:27,41,0.34,0.27,55.8122799829,-4.3092903439,55.8121092662,-4.1570049061,1
162,2154,1084,514,2020-09-17 03:01:55,2020-09-17 03:32:55,31,0.26,0.21,55.8511524501,-4.3010063746,55.9422448789,-4.1601239129,1
163,2155,1135,313,2020-08-22 15:13:29,2020-08-22 15:52:29,39,0.33,0.26,55.933574657,-4.1931628954,55.90912001,-4.2412989565,1
164,2156,1076,413,2020-07-20 06:17:41,2020-07-20 13:43:41,446,3.72,2.97,55.9498629295,-4.0049144015,55.836818035,-4.0297433606,1
165,2157,1017,413,2020-03-15 01:47:26,2020-03-15 07:18:26,331,2.76,2.21,55.8604748731,-4.0862315222,55.8658898148,-4.2429490929,1
166,2158,1022,158,2020-09-07 01:58:02,2020-09-07 06:43:02,285,2.38,1.9,55.9023300094,-4.0847929696,55.9087378227,-4.2431915103,1
167,2159,1053,333,2020-06-03 19:52:45,2020-06-04 01:29:45,337,2.81,2.25,55.8459697526,-4.1738917089,55.9246749364,-4.1672889855,1
168,2160,1117,322,2020-01-28 06:33:06,2020-01-28 07:13:06,40,0.33,0.27,55.8603652798,-4.1732903436,55.9320567473,-4.2783552214,1
169,2161,1031,439,2020-03-16 11:01:47,2020-03-16 20:11:47,550,4.58,3.67,55.8426165368,-4.0612290736,55.9316026863,-4.2363051095,1
170,2162,1063,209,2020-05-17 05:47:33,2020-05-17 06:47:33,60,0.5,0.4,55.9242692032,-4.2625921219,55.8209722276,-4.0151244218,1
171,2163,1100,135,2020-11-21 23:06:31,2020-11-21 23:53:31,47,0.39,0.31,55.9181863579,-4.2973393786,55.8644936609,-4.146654797,1
172,2164,1148,535,2020-02-28 16:26:45,2020-02-28 18:58:45,152,1.27,1.01,55.8314300654,-4.076923972,55.9078273525,-4.1763346515,1
173,2165,1127,139,2020-04-25 10:13:41,2020-04-25 16:28:41,375,3.12,2.5,55.9033895193,-4.0863567281,55.8289419029,-4.2303279535,1
174,2166,1009,422,2020-11-01 08:59:34,2020-11-01 15:20:34,381,3.17,2.54,55.8434368939,-4.1277119588,55.8633971872,-4.1836572326,1
175,2167,1017,556,2020-10-20 05:21:19,2020-10-20 08:56:19,215,1.79,1.43,55.8637155574,-4.2839921358,55.8936239804,-4.0994900586,1
176,2168,1098,322,2020-07-23 21:57:55,2020-07-24 05:08:55,431,3.59,2.87,55.8230881124,-4.2230471317,55.900170959,-4.0340288158,1
177,2169,1123,338,2020-04-24 05:44:15,2020-04-24 06:21:15,37,0.31,0.25,55.8923768113,-4.0481333311,55.9306706351,-4.2550047744,1
178,2170,1036,137,2020-12-05 19:47:19,2020-12-05 20:41:19,54,0.45,0.36,55.9104333293,-4.2092155882,55.848595056,-4.3065943274,1
